Name,Ort,Webseite,Twitterhandle,Akteurstyp,Experimentierfelder
1plusX,Hamburg,https://www.1plusx.com/,@1plusX,Startup,Technology
Ada,Düsseldorf,https://join-ada.com/,@join_ada,Spin-off,Content
Adloop,Köln,http://adloop.eu/,@ad_loop,Startup,Technology
AdSeen,Paderborn,http://www.adseen.de/,@adseen_de,Startup,Technology
AKINGO,"Düsseldorf, Berlin","https://akingo.com, https://ianfs.com, 
https://newsinitiative.withgoogle.com/dnifund/dni-projects/akingo/",@ianflorian,Startup,Technology
Alexandru Nita,München,https://eventspace.es,@seadow,Individual,"Technology, Audience Relationship"
Anna Alberts,Berlin,https://openbudgets.com,"@OpenBudgetsEU
@Anna_Alberts",Individual,"Audience Relationship, Funding"
AX Semantics,Stuttgart,https://www.ax-semantics.com,@axsemantics,Startup,Technology
Axel Springer Plug and Play Accelerator,Berlin,http://www.axelspringerplugandplay.com/,@as_pnp,Accelerator / Incubator,"Technology, Content, Audience Relationship, Funding"
Bento,Hamburg,https://bento.de,@bento_de,Spin-off,Content
Bohème,München,http://boheme.io/,,Startup,"Technology, Business Model"
Business Insider Deutschland,Karlsruhe,www.businessinsider.de, @BIDeutschland ,Spin-off (Established news organization),Content
Business News Platform,Düsseldorf,https://newsinitiative.withgoogle.com/dnifund/dni-projects/business-news-platform/,@handelsblatt,Project,Technology
Business Punk,Hamburg,https://www.business-punk.com,@BusinessPunkMag,Spin-off,Content
BuzzFeed Deutschland,Berlin,"https://www.buzzfeed.com/de/
https://www.buzzfeed.com/de/danieldrepper/buzzfeed-news-deutschland-transparenz-reporterinnen-reporter","@BuzzFeedGermany
@BuzzFeedNewsDE",Startup,"Content, Audience Relationship"
Byou,Berlin,https://byou.bild.de,@byou,Spin-off,"Content, Audience Relationship"
C-POP,Berlin,"https://innovation.dpa.com/2019/03/21/story-driven-reader-c-pop-newsflow-agencies-publishers/, https://innovation.dpa.com/2019/03/21/agenturen-verlage-c-pop-kooperation/, https://dpa.com",@dpa,Project,Technology
Camperstyle,,https://de.camperstyle.net/,@CamperStyleDE,Startup,"Content, Audience Relationship"
Campfire Festival,Düsseldorf,https://campfirefestival.org/,@campfire_fest,Project,Audience Relationship
Carline Mohr,Berlin,https://www.mohrenpost.de/,@Mohrenpost,Individual,Audience Relationship
CeleraOne,Berlin,http://www.celeraone.com/,@celeraone,Startup,Technology
Christopher Weckwerth,Berlin,,@c_weckwerth,Individual (intrapreneur),Technology
Civey,Berlin,https://civey.com/,@civey_de,Startup,"Technology, Content"
Cleverpush,Hamburg,https://cleverpush.com/de/,@cleverpush_com,Startup,Technology
CommunicationAds,Nürnberg,https://www.communicationads.net/,,Startup,Technology
Contentflow,Berlin,https://contentflow.net,@contentflowlive,Startup,Technology
Conversational News,Halle,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/conversational-news/, https://www.informatik.uni-halle.de/arbeitsgruppen/big_data_analytics/",@matthias_hagen,Project (research institute),Technology
CORRECTIV,"Essen, Berlin",https://correctiv.org,@correctiv_org,Startup,"Audience Relationship, Content, Funding"
Daniel Drepper,Berlin,https://www.buzzfeed.com/de/danieldrepper/buzzfeed-news-deutschland-transparenz-reporterinnen-reporter,@danieldrepper,Individual,Content
Daniel Fiene,Düsseldorf,https://danielfiene.com,@fiene,Individual (entrepreneur Journalist),"Content, Technology"
Data Corrupter,Düsseldorf,"https://thedatacorrupter.org
https://www.grey.com
https://orange.handelsblatt.com",,Project,Technology
Datawrapper,Bad Honnef,https://www.datawrapper.de/,@datawrapper,Startup,"Technology, Content"
Datenfreunde,"Hamburg, Berlin",https://datenfreunde.com,@datenfreunde,Startup,"Technology, Content"
Deine Korrespondentin,Berlin,https://www.deine-korrespondentin.de,@deine_korri,Startup,"Content, Audience Relationship"
Dekoder,Hamburg,"https://dekoder.org, https://newsinitiative.withgoogle.com/dnifund/dni-projects/data-driven-donation-encourager/",@dekoder_org,Project,Content
Der Kontext,München,https://www.derkontext.com/,@DerKontext,Startup,Content
Digger - Deepfake Detection,Bonn,newsinitiative.withgoogle.com/dnifund/dni-projects/digger-deepfake-detection/,@DeepfakeDigger,Project (research institute),Technology
Digidip,Berlin,https://www.digidip.net,@digidip_net,Startup,Technology
Dirk von Gehlen,München,https://dirkvongehlen.de,@dvg,Individual (entrepreneur journalist),Content
docupy,Köln,www1.wdr.de/fernsehen/docupy,@docupy,Project (established news organization),Content
dpa-newslab,Hamburg,"https://www.dpa.com/de/produkte-services/portale-apps-labs/newslab/,
https://innovation.dpa.com/","@dpa_newslab
@gkamp",Innovation Unit,Technology
DW Innovation,"Berlin, Bonn",http://blogs.dw.com/innovation/,@dw_innovation,Innovation Unit,"Technology, Content"
Edition F,Berlin,https://editionf.com,@editionf_com,Startup,"Content, Audience Relationship"
Editorial Insights Engine,Hamburg,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/editorial-insights-engine/, bauerxcel.com, bauermedia.com","@bauermediagroup
@bauerxcel (gelöscht)",Project,Technology
Electric Elephant Publishing,Hamburg,https://www.electricelephantpublishing.de/,@JorisZierold,Startup,Content
F.A.Z. Personalisation: Content layers for a regional focus,Frankfurt,https://newsinitiative.withgoogle.com/dnifund/dni-projects/FAZ-personalisation/,@faznet,Project (established news organization),Technology
FactFox,München,https://www.factfox.io/,@factfoxDE,Startup,Technology
FanMatics,Hamburg,https://fanmatics.com,@fanmatics,Startup,Technology
Follow the Grant,Berlin,"https://hrist.io, https://portfolio.vaz.io",@hristio,Project,"Content, Technology"
Friedrich Lindenberg,"Berlin, Sarajevo",http://pudo.org/,@pudo,Individual (technologist),Technology
funk,Stuttgart,https://funk.net,"Nur in z.B.:
@Y_Kollektiv 
@jaegersammler 
@gutearbeit",Spin-off,"Organizational Structure, Content"
GPStory,Berlin,"https://miz-babelsberg.de/gpstory, 
sansho.studio",@studio_sansho,Project,"Technology, Content, Audience Relationship"
Greenhouse Innovation Lab,Hamburg,https://www.greenhouse.media/,@jue,Innovation Unit,"Content, Technology, Business Model"
Hannah Suppa,Hannover,www.madsack.de,"@hannah_suppa
@madsack","Individual (entrepreneur journalist, intrapreneur)",Content
Harald Meier,,"https://smrfoundation.org, https://digitalspacelab.com",,Individual,Technology
Helloguide,Hamburg,https://helloguide.ai,@helloguide_ai,Startup,"Technology, Content"
Hendrik Lehmann,Berlin,"https://digitalpresent.tagesspiegel.de/
https://kress.de/news/detail/beitrag/141979-hendrik-lehmann-leitet-neues-tagesspiegel-innovation-lab.html",@plateauton,Individual (intrapreneur),"Technology, Content"
HHLab,Hamburg,"https://www.hhlab.de
https://newsinitiative.withgoogle.com/dnifund/dni-projects/learning-content/, https://www.hhlab.de/learning-content/","@HHLAB_de
@Dreykluft",Innovation Unit,"Technology, Content"
Hostwriter,Berlin,hostwriter.org,@Hostwriter,Startup,"Technology, Audience Relationship"
Huffpost Deutschland,München,"https://www.huffingtonpost.de/
https://www.morgenpost.de/wirtschaft/article216184759/Deutsche-Huffington-Post-wird-Ende-Maerz-eingestellt.html",@HuffPostDE,Startup,
hyScore,,https://www.hyscore.io,@hyscoreio,Startup,Technology
Identifying & Monetising Evergreen Content,Münster,"https://newsinitiative.withgoogle.com/dnifund/dni-projects/identifying-monetising-evergreen-content-round-5/
 aschendorff.de/",,Project (established news organization),"Technology, Content"
InnoLab der HMS,Hamburg,"https://www.hamburgmediaschool.com/forschung-labs/labs/innolab
https://www.mediummagazin.de/haltung-bitte/","@HHMediaSchool
@Augstein",Innovation Unit (research institute),"Technology, Funding"
Ippen Digital,München,https://ippen-digital.de,@ID_gmbh,Innovation Unit,Technology
Isabelle Klein,"Köln, Leipzig","https://detektor.com, geschichten.detektor.fm/musik/pop-ist-kein-weisser-heterosexueller-mann/, www.miz-babelsberg.de/klick-pop, isabelleklein.de",@huiahoi,Individual (entrepreneur journalist),Content
Isabelle Sonnenfeld,Berlin,https://newsinitiative.withgoogle.com/google-news-lab,@isasun,Individual (intrapreneur),Technology
Jakob Vicari,"Berlin, Lüneburg",https://jakobvicari.de,@vicari,Individual (entrepreneur journalist),"Technology, Content"
Jetzt,München,http://jetzt.de,@jetzt,Spin-off,Content
Jochen Spangenberg,"Berlin, Bonn","https://revealproject.eu, jospang.wordpress.com, http://blogs.dw.com/innovation/","@jospang
@RevealEU","Individual (entrepreneur-journalist, intrapreneur)",Technology
Jochen Wegner,Berlin,https://about.me/jochen,@jochen,"Individual (entrepreneur journalist, intrapreneur)","Content, Technology, Audience Relationship"
